strekkode;vare;beskrivelse;kategori;enhet
00001069;Coop Pizzatwist 130g;GOMAN AS;mat;stk
00004091;Søtpotet stykk 400 g;Bama dagligvare as;mat;stk
00005739;Eple Rød Kanzi;;mat;stk
00011549;Jackfruit Peeled 200g;Asian Food Import;mat;stk
0002000545062;CannorozzettiLaks med fløtesaus og bønnemiks;Trenogmat;mat;stk
0002005453010;Koreansk bulgogi-gryte med sesamris;Trenogmat.no;mat;stk
0002105450001;Penne Alla Vodka;Trenogmat;mat;stk
0002540050057;Biff ravioli One Size;Trenogmat;mat;stk
0002545000002;Nordisk Biff Og Tomat Umami Gryte;Trenogmat;mat;stk
0002545000019;Re-Fuel Lasagne;TrenogMat;mat;stk
0002545000033;Tortelloni;Trenogmat;mat;stk
0002545000064;Biff Chimichangas;TrenogMat;mat;stk
0002545000095;Proteinvaffel Med Kirsebærsyltetøy;Trenogmat;mat;stk
0002545000101;Hvit Tortilla - Biff Chimichangas - ONE SIZE;Trenogmat;mat;stk
0002545000118;Grilled Halloumi med quinoa pillar og grønnsaker;Trenogmat;mat;stk
0002545000224;Ørretfilet;Trenogmat;mat;stk
0002545000248;Reker Frafalle Med Blåsaus;Tren Og Mat;mat;stk
0002545000255;Parmesanpanert Kyllingfilet;Trenogmat;mat;stk
0002545000309;Hjortegryte, BeYou;TrenogMat;mat;stk
0002545000415;Parmesanpanert Kylling med potter og ostesaus;Trenogmat;mat;stk
0002545000507;Carbonara De La Casa;Tren Og Mat;mat;stk
0002545000514;Smør Paneer (Vegetar);Trenogmat;mat;stk
0002545000774;Primo Kyllinglapskaus Med Ostesaus;Trenogmat AS;mat;stk
0002545000804;Fiskegryte Med Høstens Grønnsaker;Trenogmat;mat;stk
0002545000859;Laksefilet Bbq herbs med asparges og risotto;Trenogmat;mat;stk
0002545001115;Beef Mac And Cheese;TrenogMat;mat;stk
0002545100016;Kremet kyllingpanne med sitronsaus, ris og grønnsaker;Trenogmat;mat;stk
0002545100023;Budsjett Bulk;Trenogmat;mat;stk
0002545100030;Massaman Langkokt Biff;Trenogmat;mat;stk
0002545100047;Protein Taco Kasserolle;Trenogmat;mat;stk
0002545100061;Basil Kylling Med Jasmin Ris;Trenogmat;mat;stk
0002545100078;Satay Kylling Med Basmatiris;Trenogmat;mat;stk
0002545100108;Chili Con Carne Fitnesstyle SMALL;Trenogmat;mat;stk
0002545100115;Fullkorn Penne Mes Arribiata Saus Og Kylling SMALL;Trenogmat;mat;stk
0002545100139;Kylling Pesto Risoni SMALL;Trenogmat;mat;stk
0002545100153;Smørkylling Med Indisk Basmatiris;Trenogmat;mat;stk
0002545100207;Genovese pasta og kyllingfilet med sjampinjongsaus;Trenogmat;mat;stk
0002545100856;Biff Ragu med søtpotet, gulrot og pastinakk pure;Trenogmat;mat;stk
0002545100900;Tex Mex SMALL;Trenogmat;mat;stk
